Company Name,Industry,Symbol,Series,Yfinanance
3M India Ltd.,Diversified,3MINDIA,EQ,3MINDIA.NS
ACC Ltd.,Construction Materials,ACC,EQ,ACC.NS
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,AARTIDRUGS.NS
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,AARTIIND.NS
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,ABBOTINDIA.NS
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,ADANIENT.NS
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,ADANIGREEN.NS
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,ADANIPORTS.NS
Adani Power Ltd.,Power,ADANIPOWER,EQ,ADANIPOWER.NS
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,ATGL.NS
Adani Transmission Ltd.,Power,ADANITRANS,EQ,ADANITRANS.NS
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL,EQ,AWL.NS
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,ABFRL.NS
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM,EQ,AEGISCHEM.NS
Aether Industries Ltd.,Chemicals,AETHER,EQ,AETHER.NS
Affle (India) Ltd.,Information Technology,AFFLE,EQ,AFFLE.NS
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,AJANTPHARM.NS
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,APLLTD.NS
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,ALKEM.NS
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,ALKYLAMINE.NS
Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT,EQ,AMARAJABAT.NS
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,AMBER.NS
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,AMBUJACEM.NS
Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,ANURAS.NS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,APOLLOHOSP.NS
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,APOLLOTYRE.NS
Archean Chemical Industries Ltd.,Chemicals,ACI,EQ,ACI.NS
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,ASAHIINDIA.NS
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,ASIANPAINT.NS
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,ASTERDM.NS
Atul Ltd.,Chemicals,ATUL,EQ,ATUL.NS
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,AUROPHARMA.NS
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,AVANTIFEED.NS
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,DMART.NS
BASF India Ltd.,Chemicals,BASF,EQ,BASF.NS
BLS International Services Ltd.,Consumer Services,BLS,EQ,BLS.NS
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,BAJAJ-AUTO.NS
Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,BALAMINES.NS
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,BALKRISIND.NS
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,BALRAMCHIN.NS
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,BATAINDIA.NS
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,BAYERCROP.NS
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,BERGEPAINT.NS
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,BPCL.NS
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,BHARTIARTL.NS
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,BIKAJI.NS
Biocon Ltd.,Healthcare,BIOCON,EQ,BIOCON.NS
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,BIRLACORPN.NS
Birlasoft Ltd.,Information Technology,BSOFT,EQ,BSOFT.NS
Blue Dart Express Ltd.,Services,BLUEDART,EQ,BLUEDART.NS
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,BLUESTARCO.NS
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,BBTC.NS
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,BOSCHLTD.NS
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,BRIGADE.NS
Brightcom Group Ltd.,Information Technology,BCG,EQ,BCG.NS
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,BRITANNIA.NS
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,MAPMYINDIA.NS
