DATE,WPU5811
2009-03-01,100.0
2009-04-01,98.7
2009-05-01,99.7
2009-06-01,100.1
2009-07-01,98.4
2009-08-01,98.4
2009-09-01,96.7
2009-10-01,96.4
2009-11-01,98.1
2009-12-01,93.8
2010-01-01,94.4
2010-02-01,97.5
2010-03-01,96.2
2010-04-01,96.4
2010-05-01,96.1
2010-06-01,97.8
2010-07-01,97.7
2010-08-01,97.6
2010-09-01,103.8
2010-10-01,103.2
2010-11-01,103.3
2010-12-01,103.2
2011-01-01,104.8
2011-02-01,107.1
2011-03-01,107.2
2011-04-01,106.8
2011-05-01,106.0
2011-06-01,108.5
2011-07-01,109.1
2011-08-01,109.6
2011-09-01,108.6
2011-10-01,109.0
2011-11-01,106.9
2011-12-01,107.0
2012-01-01,109.0
2012-02-01,111.6
2012-03-01,111.6
2012-04-01,112.0
2012-05-01,112.3
2012-06-01,113.2
2012-07-01,114.6
2012-08-01,113.7
2012-09-01,114.4
2012-10-01,115.0
2012-11-01,112.5
2012-12-01,111.9
2013-01-01,112.5
2013-02-01,114.7
2013-03-01,115.9
2013-04-01,116.5
2013-05-01,114.1
2013-06-01,114.2
2013-07-01,116.2
2013-08-01,115.7
2013-09-01,115.4
2013-10-01,117.7
2013-11-01,115.2
2013-12-01,113.0
2014-01-01,115.1
2014-02-01,116.4
2014-03-01,116.1
2014-04-01,118.1
2014-05-01,121.7
2014-06-01,121.3
2014-07-01,121.7
2014-08-01,119.6
2014-09-01,120.2
2014-10-01,124.8
2014-11-01,124.1
2014-12-01,122.6
2015-01-01,124.3
2015-02-01,124.9
2015-03-01,123.8
2015-04-01,124.0
2015-05-01,127.7
2015-06-01,127.2
2015-07-01,127.0
2015-08-01,126.4
2015-09-01,126.2
2015-10-01,128.1
2015-11-01,127.6
2015-12-01,130.1
2016-01-01,130.1
2016-02-01,129.2
2016-03-01,129.9
2016-04-01,130.3
2016-05-01,130.6
2016-06-01,129.3
2016-07-01,130.2
2016-08-01,129.1
2016-09-01,130.5
2016-10-01,128.5
2016-11-01,127.7
2016-12-01,129.0
2017-01-01,130.0
2017-02-01,130.3
2017-03-01,132.1
2017-04-01,130.5
2017-05-01,130.4
2017-06-01,129.9
2017-07-01,129.7
2017-08-01,130.1
2017-09-01,131.0
2017-10-01,129.2
2017-11-01,128.5
2017-12-01,127.4
2018-01-01,129.8
2018-02-01,130.7
2018-03-01,130.8
2018-04-01,130.5
2018-05-01,133.7
2018-06-01,132.4
2018-07-01,131.2
2018-08-01,133.1
2018-09-01,131.8
2018-10-01,133.9
2018-11-01,133.4
2018-12-01,132.2
2019-01-01,134.0
2019-02-01,135.3
2019-03-01,135.0
2019-04-01,135.1
2019-05-01,134.7
2019-06-01,134.5
2019-07-01,134.0
2019-08-01,134.8
2019-09-01,135.3
2019-10-01,135.4
2019-11-01,134.5
2019-12-01,134.1
2020-01-01,136.7
2020-02-01,135.9
2020-03-01,137.3
2020-04-01,139.9
2020-05-01,137.8
2020-06-01,135.9
2020-07-01,138.1
2020-08-01,139.4
2020-09-01,134.7
2020-10-01,136.6
2020-11-01,134.8
2020-12-01,133.0
2021-01-01,136.6
2021-02-01,135.7
2021-03-01,136.4
2021-04-01,139.1
2021-05-01,136.5
2021-06-01,135.8
2021-07-01,137.038
2021-08-01,139.836
2021-09-01,141.181
2021-10-01,142.468
2021-11-01,143.575
2021-12-01,144.119
2022-01-01,148.546
2022-02-01,150.771
2022-03-01,151.455
2022-04-01,153.636
2022-05-01,154.406
2022-06-01,160.349
2022-07-01,163.343
2022-08-01,165.589
2022-09-01,168.985
2022-10-01,174.267
2022-11-01,171.994
2022-12-01,169.630
2023-01-01,170.934
2023-02-01,175.997
2023-03-01,179.325
